c,NO2,NO,N2O,NH4+,N2
6.6,0.100075707,0.494861007,0.170298911,0.10320471,0.131559665
6.7,0.104858111,0.495144624,0.169195318,0.099995623,0.130806325
6.8,0.109964944,0.49526701,0.168014456,0.096726593,0.130026998
6.9,0.115405679,0.495231214,0.166757016,0.093387989,0.129218101
7,0.121190233,0.495040419,0.165423502,0.089969903,0.128375943
7.1,0.127328296,0.494698341,0.16401454,0.086462114,0.12749671
7.2,0.133829947,0.494208841,0.162530721,0.08285405,0.126576441
7.3,0.140705531,0.493576134,0.160972567,0.079134746,0.125611022
7.4,0.14796563,0.492804705,0.159340653,0.075292801,0.12459621
7.5,0.155621381,0.491899208,0.15763556,0.071316272,0.123527579
7.6,0.163684349,0.490864658,0.155857832,0.067192681,0.12240048
7.7,0.172166898,0.489706077,0.154008012,0.062908898,0.121210114
7.8,0.181081949,0.488428832,0.152086637,0.058451131,0.11995145
7.9,0.19044347,0.487038362,0.150094242,0.053804756,0.11861917
8,0.200266375,0.485540199,0.148031358,0.04895429,0.117207778
8.1,0.21056683,0.483939963,0.145898511,0.043883245,0.11571145
8.2,0.221362331,0.482243392,0.143696227,0.038574002,0.114124048
8.3,0.232671952,0.480456221,0.141425027,0.033007716,0.112439084
8.4,0.244516472,0.478584186,0.139085431,0.027164158,0.110649753
8.5,0.256918807,0.476633004,0.136677955,0.021021425,0.108748809
8.6,0.269904192,0.474608401,0.134203052,0.014555841,0.106728513
8.7,0.283500306,0.472515993,0.13166128,0.007741643,0.104580779
8.8,0.297737988,0.470361321,0.129053142,0.000550745,0.102296804
8.9,0.305603787,0.468149831,0.126379078,0,0.099867304
9,0.313191217,0.46588687,0.123639657,0,0.097282256
9.1,0.321056096,0.463577633,0.120835297,0,0.094530973
9.2,0.329204409,0.461227177,0.117966538,0,0.091601876
9.3,0.337643219,0.458840413,0.115033867,0,0.088482501
9.4,0.346380864,0.456422063,0.112037724,0,0.085159349
9.5,0.355427044,0.453976718,0.108978622,0,0.081617616
9.6,0.364792819,0.451508751,0.105857047,0,0.077841384
9.7,0.374491023,0.44902239,0.102673473,0,0.073813114
9.8,0.384536525,0.446521661,0.099428382,0,0.069513432
9.9,0.394946138,0.44401041,0.096122253,0,0.064921198
10,0.405739307,0.441492297,0.092755571,0,0.060012824
10.1,0.41693832,0.438970803,0.089328782,0,0.054762095
10.2,0.428568705,0.436449226,0.085842395,0,0.049139674
10.3,0.440659819,0.433930685,0.082296909,0,0.043112587
10.4,0.45324567,0.431418124,0.078692743,0,0.036643462
10.5,0.466365535,0.42891432,0.075030446,0,0.029689699
10.6,0.480065233,0.426421876,0.071310466,0,0.022202426
10.7,0.494398407,0.423943249,0.067533288,0,0.014125056
10.8,0.509428663,0.421480717,0.063699418,0,0.005391202
10.9,0.521154214,0.41903644,0.059809346,0,0
11,0.527524028,0.416612405,0.055863567,0,0
11.1,0.533926946,0.414210469,0.051862586,0,0
11.2,0.540360712,0.411832379,0.047806909,0,0
11.3,0.546823262,0.409479715,0.043697023,0,0
11.4,0.553312534,0.407153969,0.039533497,0,0
11.5,0.559826704,0.404856496,0.0353168,0,0
11.6,0.566363921,0.402588568,0.031047511,0,0
11.7,0.572922496,0.400351346,0.026726158,0,0
11.8,0.579500823,0.398145887,0.02235329,0,0
11.9,0.586097387,0.395973145,0.017929468,0,0
12,0.592710739,0.393833987,0.013455274,0,0
