c,NO2,NO,N2O,NH4+,N2
5.8,0.015617302,0.430671731,0.209276922,0.129873796,0.214560249
5.9,0.015394963,0.433005211,0.209993066,0.128085762,0.213520998
6,0.015406485,0.43525477,0.210616846,0.126307273,0.212414627
6.1,0.015676116,0.437419063,0.211146964,0.1245174,0.211240456
6.2,0.016228299,0.439496862,0.211582087,0.12269507,0.209997683
6.3,0.017087476,0.441486973,0.211920827,0.120819147,0.208685577
6.4,0.018278096,0.443388297,0.212161794,0.118868534,0.20730328
6.5,0.01982451,0.44519983,0.212303597,0.116822243,0.205849819
6.6,0.021750761,0.446920674,0.212344844,0.114659489,0.204324233
6.7,0.024080585,0.448550038,0.21228412,0.112359768,0.20272549
6.8,0.026837574,0.450087181,0.212119895,0.109902944,0.201052406
6.9,0.03004444,0.451531577,0.211850855,0.107269323,0.199303805
7,0.03372361,0.452882789,0.211475435,0.104439733,0.197478434
7.1,0.037896954,0.454140419,0.210992194,0.101395594,0.19557484
7.2,0.042585306,0.455304359,0.210399672,0.098118982,0.193591682
7.3,0.04780924,0.45637445,0.209696368,0.094592636,0.191527305
7.4,0.053588112,0.457350838,0.208880791,0.090800077,0.189380182
7.5,0.059940722,0.458233683,0.207951454,0.086725675,0.187148466
7.6,0.066884997,0.459023324,0.206906742,0.082354555,0.184830383
7.7,0.07443776,0.459720279,0.205745295,0.077672697,0.182423968
7.8,0.082615316,0.460325069,0.204465468,0.072667059,0.179927088
7.9,0.091432659,0.460838515,0.203065844,0.067325436,0.177337547
8,0.100904152,0.461261457,0.201544873,0.061636514,0.174653003
8.1,0.111043309,0.461594869,0.199901026,0.055589846,0.17187095
8.2,0.121862488,0.46183992,0.198132793,0.049176076,0.168988723
8.3,0.133373544,0.461997761,0.19623869,0.042386515,0.166003491
8.4,0.145587325,0.462069821,0.194217257,0.035213442,0.162912155
8.5,0.158513935,0.462057467,0.19206697,0.027650053,0.159711575
8.6,0.172162822,0.461962294,0.189786396,0.019690212,0.156398276
8.7,0.186542566,0.461785937,0.187374041,0.011328891,0.152968565
8.8,0.201661481,0.46153005,0.184828532,0.002561471,0.149418466
8.9,0.210911296,0.461196471,0.182148443,0,0.145743789
9,0.217940585,0.460787049,0.179332389,0,0.141939976
9.1,0.225315129,0.460303692,0.176379033,0,0.138002145
9.2,0.233039507,0.459748364,0.173287083,0,0.133925046
9.3,0.241118881,0.459123073,0.170055139,0,0.129702906
9.4,0.249558332,0.458429848,0.166682123,0,0.125329697
9.5,0.258363849,0.45767074,0.163166697,0,0.120798713
9.6,0.267541636,0.456847889,0.159507782,0,0.116102693
9.7,0.277098631,0.455963311,0.155704276,0,0.111233782
9.8,0.287042286,0.455019174,0.151755129,0,0.106183411
9.9,0.297380956,0.454017561,0.14765937,0,0.100942113
10,0.308123883,0.452960555,0.143416045,0,0.095499517
10.1,0.31928128,0.451850235,0.139024312,0,0.089844173
10.2,0.330864311,0.450688667,0.134483443,0,0.083963579
10.3,0.342885834,0.449477904,0.129792701,0,0.077843562
10.4,0.355360146,0.448219947,0.124951458,0,0.071468449
10.5,0.368303259,0.446916775,0.11995923,0,0.064820736
10.6,0.381733575,0.445570336,0.114815579,0,0.05788051
10.7,0.395671933,0.44418255,0.109520177,0,0.050625339
10.8,0.410142515,0.442755281,0.104072798,0,0.043029405
10.9,0.425173113,0.441290355,0.098473254,0,0.035063277
11,0.440796331,0.439789564,0.092721652,0,0.026692454
11.1,0.457050431,0.438254645,0.086817992,0,0.017876932
11.2,0.473980992,0.436687271,0.080762599,0,0.008569138
11.3,0.490355103,0.435089113,0.074555784,0,0
11.4,0.498340234,0.43346176,0.068198006,0,0
11.5,0.506503321,0.43180675,0.061689928,0,0
11.6,0.514842115,0.43012558,0.055032305,0,0
11.7,0.523354284,0.428419702,0.048226013,0,0
11.8,0.532037391,0.426690525,0.041272085,0,0
11.9,0.540888849,0.424939401,0.03417175,0,0
12,0.549906049,0.423167619,0.026926332,0,0
